Year,Format,Matches,Innings,Runs,Highest_Score,Average,Strike_Rate,Centuries,Half_Centuries,Fours,Sixes
2008,ODI,5,5,159,54,31.8,66.5,0,1,21,1
2009,ODI,10,8,325,107,54.17,84.4,1,2,37,3
2010,ODI,25,24,995,118,47.38,85.1,3,7,94,4
2011,ODI,34,34,1381,117,47.62,85.6,4,8,127,7
2012,ODI,17,17,1026,183,68.4,93.8,5,3,102,7
2013,ODI,34,30,1268,115,52.83,97.6,4,7,134,20
2014,ODI,21,20,1054,139,58.55,99.6,4,5,94,20
2015,ODI,20,20,623,138,36.65,80.6,2,1,42,8
2016,ODI,10,10,739,154,92.38,100.0,3,4,62,8
2017,ODI,26,26,1460,131,76.84,99.1,6,7,136,22
2018,ODI,14,14,1202,160,133.56,102.6,6,3,123,13
2019,ODI,26,25,1377,123,59.87,96.4,5,7,133,8
2020,ODI,9,9,431,89,47.88,92.3,0,5,36,5
2021,ODI,3,3,129,66,43.0,86.6,0,2,10,2
2022,ODI,11,11,302,113,27.45,87.0,1,2,31,3
2023,ODI,27,24,1377,166,72.47,99.1,6,8,121,24
2024,ODI,3,3,58,24,19.33,85.3,0,0,5,0
2011,Test,5,9,202,63,22.44,43.2,0,1,24,1
2012,Test,9,16,689,116,49.21,47.9,3,3,82,2
2013,Test,8,12,617,119,56.09,55.4,2,3,75,2
2014,Test,10,20,847,169,44.58,60.5,4,2,101,2
2015,Test,9,15,640,147,42.67,54.1,2,2,70,1
2016,Test,12,18,1215,235,75.94,60.4,4,2,134,2
2017,Test,10,16,1059,243,75.64,76.2,5,1,114,3
2018,Test,13,24,1322,153,55.08,54.4,5,5,144,2
2019,Test,8,11,612,254,68.0,63.8,2,2,78,3
2020,Test,3,6,116,74,19.33,41.3,0,1,14,0
2021,Test,11,19,536,72,28.21,44.1,0,4,60,1
2022,Test,6,11,265,79,26.5,39.4,0,1,33,1
2023,Test,8,12,671,186,55.92,54.7,2,2,69,4
2024,Test,6,10,270,70,30.0,53.8,0,1,32,2
2008,IPL,13,12,165,38,15.0,105.1,0,0,18,4
2009,IPL,16,13,246,50,22.36,112.3,0,1,22,8
2010,IPL,16,13,307,58,27.91,144.8,0,1,26,12
2011,IPL,16,16,557,71,46.42,121.1,0,4,55,16
2012,IPL,16,15,364,73,28.0,111.7,0,2,33,10
2013,IPL,16,16,634,99,45.29,138.7,0,6,64,22
2014,IPL,14,14,359,73,27.62,122.1,0,2,31,16
2015,IPL,16,16,505,82,45.91,130.8,0,3,35,23
2016,IPL,16,16,973,113,81.08,152.0,4,7,83,38
2017,IPL,10,10,308,64,30.8,122.2,0,4,23,11
2018,IPL,14,14,530,92,48.18,139.1,0,4,52,18
2019,IPL,14,14,464,100,33.14,141.5,1,2,46,13
2020,IPL,15,15,466,90,42.36,121.4,0,3,32,11
2021,IPL,15,15,405,72,28.93,119.5,0,3,43,9
2022,IPL,16,16,341,73,22.73,115.9,0,2,32,8
2023,IPL,14,14,639,101,53.25,139.8,2,6,65,16
2024,IPL,15,15,741,113,61.75,154.7,1,5,62,38
2010,T20I,2,2,54,28,27.0,120.0,0,0,4,2
2011,T20I,4,4,61,28,15.25,105.2,0,0,6,1
2012,T20I,14,13,471,78,47.1,132.7,0,4,43,12
2013,T20I,1,1,29,29,29.0,131.8,0,0,2,1
2014,T20I,7,7,385,77,96.25,129.6,0,5,35,12
2015,T20I,2,2,44,43,22.0,146.7,0,0,4,3
2016,T20I,15,13,641,90,106.83,140.3,0,7,70,14
2017,T20I,10,10,299,82,37.38,152.6,0,2,23,10
2018,T20I,10,7,211,61,35.17,132.7,0,1,14,7
2019,T20I,10,10,466,94,77.67,147.9,0,5,43,23
2020,T20I,10,9,295,85,36.88,141.8,0,1,23,9
2021,T20I,8,8,299,80,74.75,132.9,0,4,24,9
2022,T20I,20,20,781,122,55.79,137.9,1,8,67,20
2024,T20I,12,11,182,76,18.2,121.3,0,1,14,7
